top - 19:48:57 up 12:31,  1 user,  load average: 0.52, 0.52, 0.30
Tasks: 127 total,   1 running, 126 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.8 us,  9.5 sy,  0.0 ni, 38.1 id, 47.6 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   1967.8 total,    278.5 free,    634.5 used,   1225.4 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   1333.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    144 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    184 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    221 root      20   0       0      0      0 S   0.0   0.0   0:00.98 jbd2/vd+
    222 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    292 root      19  -1   34372  14908  13884 S   0.0   0.7   0:04.91 systemd+
    312 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    316 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    347 root      rt   0  288952  27136   8704 S   0.0   1.3   0:09.05 multipa+
    362 root      20   0   26084   7628   4940 S   0.0   0.4   0:00.51 systemd+
    373 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    460 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/vd+
    462 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    540 systemd+  20   0   91020   7808   6912 S   0.0   0.4   0:00.80 systemd+
    630 systemd+  20   0   19000   9088   7936 S   0.0   0.5   0:00.33 systemd+
    724 systemd+  20   0   21560  12928  10752 S   0.0   0.6   0:00.39 systemd+
    807 message+  20   0    9940   5504   4608 S   0.0   0.3   0:00.68 dbus-da+
    812 polkitd   20   0  308160   7808   7040 S   0.0   0.4   0:00.14 polkitd
    815 root      20   0   18152   8704   7808 S   0.0   0.4   0:00.53 systemd+
    816 root      20   0  468936  13312  11264 S   0.0   0.7   0:02.44 udisksd
    838 root      20   0  333372  18304  15872 S   0.0   0.9   0:02.53 Network+
    841 syslog    20   0  222508   6016   4608 S   0.0   0.3   0:01.08 rsyslogd
    863 root      20   0  392024  12544  10624 S   0.0   0.6   0:00.15 ModemMa+
    926 root      20   0 1003088   7600   4096 S   0.0   0.4   0:19.91 beget-a+
    927 root      20   0  436896  37760  18176 S   0.0   1.9   1:11.16 fail2ba+
    932 root      20   0  109644  23040  13696 S   0.0   1.1   0:00.13 unatten+
    941 root      20   0    6824   2688   2560 S   0.0   0.1   0:00.56 cron
    944 root      20   0   12020   7936   6912 S   0.0   0.4   0:02.25 sshd
    954 root      20   0    5720   2176   2048 S   0.0   0.1   0:00.02 agetty
    960 root      20   0    6104   1920   1792 S   0.0   0.1   0:00.03 agetty
   1376 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3682 root      20   0   15568   9400   6912 S   0.0   0.5   0:18.76 sshd
   3685 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   3687 root      20   0   20084  11136   9344 S   0.0   0.6   0:00.19 systemd
   3689 root      20   0   21152   3504   1792 S   0.0   0.2   0:00.00 (sd-pam)
   3694 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   3800 root      20   0    7472   3840   3584 S   0.0   0.2   0:00.00 bash
   3806 root      20   0    2800   1920   1792 S   0.0   0.1   0:00.06 sh
   3855 root      20   0    2800   1792   1792 S   0.0   0.1   0:00.00 sh
   3898 root      20   0   11.3g  77688  44160 S   0.0   3.9   0:42.73 node
   3913 root      20   0    2800   1792   1792 S   0.0   0.1   0:00.00 sh
   4002 root      20   0    2800   1664   1664 S   0.0   0.1   0:00.00 sh
   4049 root      20   0    7736   4480   3840 S   0.0   0.2   0:00.36 bash
   4364 root      20   0  995308  55100  40832 S   0.0   2.7   0:04.32 node
   6419 root      20   0    7736   4352   3712 S   0.0   0.2   0:00.04 bash
  10159 root      20   0 1017412  69328  41216 S   0.0   3.4   0:17.23 node
  10382 root      20   0       0      0      0 I   0.0   0.0   0:02.12 kworker+
  12404 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker+
  13516 root      20   0       0      0      0 I   0.0   0.0   0:00.86 kworker+
  13610 root      20   0       0      0      0 I   0.0   0.0   0:00.20 kworker+
  14525 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  14728 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker+
  14732 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker+
  14838 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
  14888 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
  14928 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker+
  15182 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
  15282 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  15445 root      20   0    5684   1920   1920 S   0.0   0.1   0:00.00 sleep
  15731 root      20   0    7736   2708   1920 S   0.0   0.1   0:00.00 bash
  15732 root      20   0    7736   2980   2176 S   0.0   0.1   0:00.00 bash
